  SUPERVISOR                  ID_EMPLEADO       NOMBRE_EMPLEADO        SUELDO_NETO   
               Id empleado: 1,     Datos: Denis Tyler     4278.91,     Padre: 0
Havana Whitmore   Id empleado: 348,     Datos: Harry Raven     2814.19,     Padre: 163
Havana Whitmore   Id empleado: 349,     Datos: Kendra Stuart     4110.55,     Padre: 163
Celina Campbell   Id empleado: 164,     Datos: Jules Mitchell     3883.2,     Padre: 72
Jules Mitchell   Id empleado: 350,     Datos: Mason Rixon     2651.36,     Padre: 164
Jules Mitchell   Id empleado: 351,     Datos: Johnny Clarke     4128.47,     Padre: 164
Jules Mitchell   Id empleado: 352,     Datos: Fred Burge     4071.48,     Padre: 164
Jules Mitchell   Id empleado: 353,     Datos: Maya Carter     3291.96,     Padre: 164
Jules Mitchell   Id empleado: 354,     Datos: Luna Oatway     2580.92,     Padre: 164
Sabrina Robinson   Id empleado: 73,     Datos: Mason Quinn     3207.96,     Padre: 27
Sabrina Robinson   Id empleado: 74,     Datos: Danny Vallory     2897.6,     Padre: 27
Danny Vallory   Id empleado: 165,     Datos: Julia Olivier     3916.68,     Padre: 74
Julia Olivier   Id empleado: 355,     Datos: George Upton     4302.9,     Padre: 165
Danny Vallory   Id empleado: 166,     Datos: Emerald Ross     4248.38,     Padre: 74
Danny Vallory   Id empleado: 167,     Datos: Ciara Mcnally     4054.82,     Padre: 74
Maria Alexander   Id empleado: 28,     Datos: Jacob Driscoll     4442.16,     Padre: 7
Maria Alexander   Id empleado: 29,     Datos: Josh Downing     2923.54,     Padre: 7
Clarissa Parker   Id empleado: 8,     Datos: Kurt Wright     3559.44,     Padre: 2
Kurt Wright   Id empleado: 30,     Datos: Manuel Griffiths     3463.62,     Padre: 8
Manuel Griffiths   Id empleado: 75,     Datos: Lucas Skinner     4326.37,     Padre: 30
Manuel Griffiths   Id empleado: 76,     Datos: Tyler Rehman     4252.97,     Padre: 30
Tyler Rehman   Id empleado: 168,     Datos: Bryon Leigh     3351.62,     Padre: 76
Tyler Rehman   Id empleado: 169,     Datos: Caleb Boden     4133.84,     Padre: 76
Tyler Rehman   Id empleado: 170,     Datos: Melanie Gray     4149.96,     Padre: 76
Melanie Gray   Id empleado: 356,     Datos: Ryan Hunter     3641.77,     Padre: 170
Melanie Gray   Id empleado: 357,     Datos: Gil Cartwright     2885.86,     Padre: 170
Melanie Gray   Id empleado: 358,     Datos: Livia Hill     2667.85,     Padre: 170
Tyler Rehman   Id empleado: 171,     Datos: Kurt Allington     2810.53,     Padre: 76
Kurt Allington   Id empleado: 359,     Datos: Chad Miller     3027.48,     Padre: 171
Kurt Allington   Id empleado: 360,     Datos: Ronald Bristow     3574.68,     Padre: 171
Kurt Allington   Id empleado: 361,     Datos: Abdul Robinson     3897.1,     Padre: 171
Manuel Griffiths   Id empleado: 77,     Datos: Daphne Mullins     3753.27,     Padre: 30
Daphne Mullins   Id empleado: 172,     Datos: Sage Forester     3242.05,     Padre: 77
Sage Forester   Id empleado: 362,     Datos: Mark Wellington     3783.07,     Padre: 172
Sage Forester   Id empleado: 363,     Datos: Ronald Wooldridge     2980.45,     Padre: 172
Sage Forester   Id empleado: 364,     Datos: Benjamin Thornton     3484.99,     Padre: 172
Daphne Mullins   Id empleado: 173,     Datos: Barney Nielson     3756.57,     Padre: 77
Daphne Mullins   Id empleado: 174,     Datos: Leroy Wild     2712.26,     Padre: 77
Leroy Wild   Id empleado: 365,     Datos: Tony Trent     3039.7,     Padre: 174
Leroy Wild   Id empleado: 366,     Datos: Teagan Shaw     4238.95,     Padre: 174
Leroy Wild   Id empleado: 367,     Datos: Noah Fall     3092,     Padre: 174
Kurt Wright   Id empleado: 31,     Datos: Maddison Silva     3348.2,     Padre: 8
Maddison Silva   Id empleado: 78,     Datos: Selena Patel     3389.21,     Padre: 31
Maddison Silva   Id empleado: 79,     Datos: Charlize Whitmore     3195.81,     Padre: 31
Kurt Wright   Id empleado: 32,     Datos: Camellia Watson     3611.92,     Padre: 8
Denis Tyler   Id empleado: 3,     Datos: Harmony Rycroft     4265.37,     Padre: 1
Harmony Rycroft   Id empleado: 9,     Datos: Dani James     4534.5,     Padre: 3
Dani James   Id empleado: 33,     Datos: Bob Booth     4402.55,     Padre: 9
Dani James   Id empleado: 34,     Datos: George Cassidy     4016.19,     Padre: 9
George Cassidy   Id empleado: 80,     Datos: Brad Nurton     3993.97,     Padre: 34
Brad Nurton   Id empleado: 175,     Datos: Elijah Collis     3335.88,     Padre: 80
Brad Nurton   Id empleado: 176,     Datos: Remy Hancock     3665.41,     Padre: 80
Remy Hancock   Id empleado: 368,     Datos: Phillip Bailey     4039.79,     Padre: 176
Remy Hancock   Id empleado: 369,     Datos: Juliette Dickson     4063.6,     Padre: 176
Remy Hancock   Id empleado: 370,     Datos: Clint Briggs     3483.81,     Padre: 176
Remy Hancock   Id empleado: 371,     Datos: Owen Whinter     3027.73,     Padre: 176
Brad Nurton   Id empleado: 177,     Datos: Lara Simpson     3036.38,     Padre: 80
Lara Simpson   Id empleado: 372,     Datos: Dasha Reynolds     3058.3,     Padre: 177
Lara Simpson   Id empleado: 373,     Datos: Ruby Bradley     3935.78,     Padre: 177
Lara Simpson   Id empleado: 374,     Datos: Hayden Whatson     2797.39,     Padre: 177
George Cassidy   Id empleado: 81,     Datos: Francesca Driscoll     3926.75,     Padre: 34
Francesca Driscoll   Id empleado: 178,     Datos: Alan Kelly     3371.83,     Padre: 81
Francesca Driscoll   Id empleado: 179,     Datos: Benny Cattell     3910.05,     Padre: 81
George Cassidy   Id empleado: 82,     Datos: Rick Roth     4558.62,     Padre: 34
George Cassidy   Id empleado: 83,     Datos: Luke Walker     4459.28,     Padre: 34
Dani James   Id empleado: 35,     Datos: Hayden Collins     3325.95,     Padre: 9
Hayden Collins   Id empleado: 84,     Datos: Russel Middleton     3637.73,     Padre: 35
Russel Middleton   Id empleado: 180,     Datos: Jacqueline Davies     4398.27,     Padre: 84
Jacqueline Davies   Id empleado: 375,     Datos: Bart Marshall     2688.81,     Padre: 180
Jacqueline Davies   Id empleado: 376,     Datos: Davina Notman     3577.37,     Padre: 180
Jacqueline Davies   Id empleado: 377,     Datos: Allison Flett     3169.12,     Padre: 180
Russel Middleton   Id empleado: 181,     Datos: Ellen Gardner     3232.21,     Padre: 84
Ellen Gardner   Id empleado: 378,     Datos: Percy Andrews     2757.65,     Padre: 181
Ellen Gardner   Id empleado: 379,     Datos: Rufus Scott     3465,     Padre: 181
Russel Middleton   Id empleado: 182,     Datos: Michael Cameron     3824.29,     Padre: 84
Russel Middleton   Id empleado: 183,     Datos: Marjorie Hepburn     3884.9,     Padre: 84
Hayden Collins   Id empleado: 85,     Datos: Michelle Mcgee     3844.27,     Padre: 35
Michelle Mcgee   Id empleado: 184,     Datos: Percy Rixon     2959.89,     Padre: 85
Percy Rixon   Id empleado: 380,     Datos: Maria Gibson     3336.58,     Padre: 184
Percy Rixon   Id empleado: 381,     Datos: Julius Michael     2875.75,     Padre: 184
Percy Rixon   Id empleado: 382,     Datos: Paige Hamilton     4276.53,     Padre: 184
Percy Rixon   Id empleado: 383,     Datos: Eryn Poole     3943.07,     Padre: 184
Michelle Mcgee   Id empleado: 185,     Datos: Goldie Giles     3523.25,     Padre: 85
Goldie Giles   Id empleado: 384,     Datos: Javier Pierce     3726.92,     Padre: 185
Goldie Giles   Id empleado: 385,     Datos: Russel Connell     3784.11,     Padre: 185
Dani James   Id empleado: 36,     Datos: Phillip Curtis     3825.24,     Padre: 9
Phillip Curtis   Id empleado: 86,     Datos: Margaret Hunter     3272.51,     Padre: 36
Margaret Hunter   Id empleado: 186,     Datos: Bethany Whinter     3585.41,     Padre: 86
Bethany Whinter   Id empleado: 386,     Datos: Tyson Ranks     4156.1,     Padre: 186
Bethany Whinter   Id empleado: 387,     Datos: Benny Woodley     4286.36,     Padre: 186
Bethany Whinter   Id empleado: 388,     Datos: Lucas Cobb     3602.23,     Padre: 186
Bethany Whinter   Id empleado: 389,     Datos: Ally Gordon     3626.27,     Padre: 186
Margaret Hunter   Id empleado: 187,     Datos: Estrella Wallace     3301.33,     Padre: 86
Estrella Wallace   Id empleado: 390,     Datos: Alba Grady     4005.97,     Padre: 187
Estrella Wallace   Id empleado: 391,     Datos: Drew Lewis     2964.6,     Padre: 187
Margaret Hunter   Id empleado: 188,     Datos: Shelby Tutton     2820.66,     Padre: 86
Margaret Hunter   Id empleado: 189,     Datos: Georgia Walsh     3340.32,     Padre: 86
Georgia Walsh   Id empleado: 392,     Datos: Bristol Morley     2805.18,     Padre: 189
Georgia Walsh   Id empleado: 393,     Datos: Thea Dyson     2554.24,     Padre: 189
Phillip Curtis   Id empleado: 87,     Datos: Matt Woods     4473.1,     Padre: 36
Matt Woods   Id empleado: 190,     Datos: Lillian Robertson     3018.02,     Padre: 87
Lillian Robertson   Id empleado: 394,     Datos: Grace Wild     2947.91,     Padre: 190
Lillian Robertson   Id empleado: 395,     Datos: Maxwell Hunter     3709.36,     Padre: 190
Lillian Robertson   Id empleado: 396,     Datos: Nancy Strong     3752.83,     Padre: 190
Matt Woods   Id empleado: 191,     Datos: Judith Anderson     2876.69,     Padre: 87
Phillip Curtis   Id empleado: 88,     Datos: Ellen Becker     3216.18,     Padre: 36
Phillip Curtis   Id empleado: 89,     Datos: Julius Robe     4497.81,     Padre: 36
Julius Robe   Id empleado: 192,     Datos: Chris Parker     3823.32,     Padre: 89
Julius Robe   Id empleado: 193,     Datos: Joseph Nelson     3775.27,     Padre: 89
Harmony Rycroft   Id empleado: 10,     Datos: Caitlyn Allen     4421.13,     Padre: 3
Caitlyn Allen   Id empleado: 37,     Datos: Barney Preston     3290.38,     Padre: 10
Barney Preston   Id empleado: 90,     Datos: Jazmin Porter     3024.9,     Padre: 37
Jazmin Porter   Id empleado: 194,     Datos: Remy Evans     2874.43,     Padre: 90
Jazmin Porter   Id empleado: 195,     Datos: Crystal Pierce     2677.64,     Padre: 90
Crystal Pierce   Id empleado: 397,     Datos: Ivette Alexander     2544.56,     Padre: 195
Crystal Pierce   Id empleado: 398,     Datos: Rosalyn Veale     2710.89,     Padre: 195
Crystal Pierce   Id empleado: 399,     Datos: Gil Hunt     3553.67,     Padre: 195
Crystal Pierce   Id empleado: 400,     Datos: Abdul Gibbons     4166.31,     Padre: 195
Jazmin Porter   Id empleado: 196,     Datos: Florence Jacobs     2945.94,     Padre: 90
Barney Preston   Id empleado: 91,     Datos: Eduardo Dwyer     3827.15,     Padre: 37
Caitlyn Allen   Id empleado: 38,     Datos: Hayden Bishop     3381.75,     Padre: 10
Caitlyn Allen   Id empleado: 39,     Datos: Abbey Goodman     4269.51,     Padre: 10
Abbey Goodman   Id empleado: 92,     Datos: Ivette Webster     3495.52,     Padre: 39
Abbey Goodman   Id empleado: 93,     Datos: Noah James     2893.03,     Padre: 39
Caitlyn Allen   Id empleado: 40,     Datos: Caydence Mould     4556.99,     Padre: 10
Caydence Mould   Id empleado: 94,     Datos: Rosalee Cunningham     4173.53,     Padre: 40
Caydence Mould   Id empleado: 95,     Datos: Dasha Matthews     3917.94,     Padre: 40
Dasha Matthews   Id empleado: 197,     Datos: Mike John     3249.4,     Padre: 95
Dasha Matthews   Id empleado: 198,     Datos: Greta Olson     3265.79,     Padre: 95
Dasha Matthews   Id empleado: 199,     Datos: Remy Bryson     3675.23,     Padre: 95
Dasha Matthews   Id empleado: 200,     Datos: Doris Mcnally     3554.47,     Padre: 95
Doris Mcnally   Id empleado: 401,     Datos: Bristol Giles     3702.53,     Padre: 200
Caydence Mould   Id empleado: 96,     Datos: Michelle Asher     4235.39,     Padre: 40
Harmony Rycroft   Id empleado: 11,     Datos: Erick Uttley     3184.42,     Padre: 3
Erick Uttley   Id empleado: 41,     Datos: Josh Seymour     3520.8,     Padre: 11
Erick Uttley   Id empleado: 42,     Datos: Penelope York     2987.93,     Padre: 11
Harmony Rycroft   Id empleado: 12,     Datos: Carmen Zaoui     3540.75,     Padre: 3
Carmen Zaoui   Id empleado: 43,     Datos: Chester Carter     2927.97,     Padre: 12
Carmen Zaoui   Id empleado: 44,     Datos: Rose Abbey     3320.49,     Padre: 12
Carmen Zaoui   Id empleado: 45,     Datos: Andrea Harvey     3447.58,     Padre: 12
Andrea Harvey   Id empleado: 97,     Datos: Jacob Gray     2936.27,     Padre: 45
Andrea Harvey   Id empleado: 98,     Datos: Cedrick Redden     3290.01,     Padre: 45
Andrea Harvey   Id empleado: 99,     Datos: Noah Thompson     3615.04,     Padre: 45
Andrea Harvey   Id empleado: 100,     Datos: Tony Dillon     2725.9,     Padre: 45
Tony Dillon   Id empleado: 201,     Datos: Logan Edmonds     3442.93,     Padre: 100
Logan Edmonds   Id empleado: 402,     Datos: Bernadette Morley     2724.69,     Padre: 201
Logan Edmonds   Id empleado: 403,     Datos: Alessandra Blackwall     4178.05,     Padre: 201
Logan Edmonds   Id empleado: 404,     Datos: Lexi Carson     3346.85,     Padre: 201
Logan Edmonds   Id empleado: 405,     Datos: Ethan Furnell     3701.24,     Padre: 201
Denis Tyler   Id empleado: 4,     Datos: Alan Patel     4283.76,     Padre: 1
Alan Patel   Id empleado: 13,     Datos: Bernadette Dickson     3810.44,     Padre: 4
Bernadette Dickson   Id empleado: 46,     Datos: Alice Hastings     3831.75,     Padre: 13
Bernadette Dickson   Id empleado: 47,     Datos: Emerald Boyle     4019.96,     Padre: 13
Bernadette Dickson   Id empleado: 48,     Datos: Anthony Andersson     3723.12,     Padre: 13
Bernadette Dickson   Id empleado: 49,     Datos: Nick Lomax     4228.18,     Padre: 13
Alan Patel   Id empleado: 14,     Datos: Clint Cork     4343.74,     Padre: 4
Clint Cork   Id empleado: 50,     Datos: Boris Doherty     3251.91,     Padre: 14
Boris Doherty   Id empleado: 101,     Datos: Denny Dubois     3645.94,     Padre: 50
Denny Dubois   Id empleado: 202,     Datos: Emerald Lindsay     3627.12,     Padre: 101
Emerald Lindsay   Id empleado: 406,     Datos: Josh Hunter     2960.02,     Padre: 202
Emerald Lindsay   Id empleado: 407,     Datos: Charlotte Varndell     3634.43,     Padre: 202
Emerald Lindsay   Id empleado: 408,     Datos: Eduardo Gregory     3580.22,     Padre: 202
Denny Dubois   Id empleado: 203,     Datos: Peter Needham     3027.03,     Padre: 101
Peter Needham   Id empleado: 409,     Datos: Carl Cann     3856.47,     Padre: 203
Peter Needham   Id empleado: 410,     Datos: Kaylee Reynolds     4256.49,     Padre: 203
Peter Needham   Id empleado: 411,     Datos: Noah Robertson     3647.23,     Padre: 203
Peter Needham   Id empleado: 412,     Datos: Sabrina Goodman     2813.19,     Padre: 203
Denny Dubois   Id empleado: 204,     Datos: Jayden Gosling     3770.49,     Padre: 101
Jayden Gosling   Id empleado: 413,     Datos: Audrey Neal     2819.92,     Padre: 204
Jayden Gosling   Id empleado: 414,     Datos: Margot Osman     2745.61,     Padre: 204
Jayden Gosling   Id empleado: 415,     Datos: Cara Richards     3409.85,     Padre: 204
Jayden Gosling   Id empleado: 416,     Datos: Cedrick Furnell     3787.41,     Padre: 204
Denny Dubois   Id empleado: 205,     Datos: Maxwell Hill     3584.17,     Padre: 101
Maxwell Hill   Id empleado: 417,     Datos: Martin Roth     3293.5,     Padre: 205
Maxwell Hill   Id empleado: 418,     Datos: Stella Dixon     2847.85,     Padre: 205
Maxwell Hill   Id empleado: 419,     Datos: Maya Yoman     3080.21,     Padre: 205
Maxwell Hill   Id empleado: 420,     Datos: Joy Morrow     3958.85,     Padre: 205
Maxwell Hill   Id empleado: 421,     Datos: Hayden Aldridge     3422.34,     Padre: 205
Maxwell Hill   Id empleado: 422,     Datos: Peter Rodwell     4005.07,     Padre: 205
Clint Cork   Id empleado: 51,     Datos: David Bowen     4367.5,     Padre: 14
David Bowen   Id empleado: 102,     Datos: Stacy Cassidy     3114.6,     Padre: 51
Stacy Cassidy   Id empleado: 206,     Datos: Regina Coleman     2720.69,     Padre: 102
Regina Coleman   Id empleado: 423,     Datos: Manuel Bishop     3301.32,     Padre: 206
Regina Coleman   Id empleado: 424,     Datos: Clint Ring     3124.18,     Padre: 206
Regina Coleman   Id empleado: 425,     Datos: Shay James     3850.9,     Padre: 206
Stacy Cassidy   Id empleado: 207,     Datos: Celina Clarke     3091.15,     Padre: 102
Celina Clarke   Id empleado: 426,     Datos: Rocco Ellis     3742.8,     Padre: 207
Celina Clarke   Id empleado: 427,     Datos: Rick Overson     2715.58,     Padre: 207
Celina Clarke   Id empleado: 428,     Datos: Stella Lynch     2801.17,     Padre: 207
Celina Clarke   Id empleado: 429,     Datos: Denis Yarlett     3603.67,     Padre: 207
Stacy Cassidy   Id empleado: 208,     Datos: Nicholas Alldridge     4099.02,     Padre: 102
Nicholas Alldridge   Id empleado: 430,     Datos: Destiny Notman     2423.58,     Padre: 208
Nicholas Alldridge   Id empleado: 431,     Datos: Kamila Andrews     3511.48,     Padre: 208
Nicholas Alldridge   Id empleado: 432,     Datos: Gwen Gosling     4104.04,     Padre: 208
David Bowen   Id empleado: 103,     Datos: Julianna Warren     4254.2,     Padre: 51
Julianna Warren   Id empleado: 209,     Datos: Vicky Mullins     2882.77,     Padre: 103
Vicky Mullins   Id empleado: 433,     Datos: Ron Amstead     3779.33,     Padre: 209
Vicky Mullins   Id empleado: 434,     Datos: Ivette Partridge     4100.1,     Padre: 209
Vicky Mullins   Id empleado: 435,     Datos: Denny Rowe     2804.06,     Padre: 209
Vicky Mullins   Id empleado: 436,     Datos: Elena Whatson     3632.15,     Padre: 209
Julianna Warren   Id empleado: 210,     Datos: Cedrick Clark     3409.73,     Padre: 103
Cedrick Clark   Id empleado: 437,     Datos: Aeris Brennan     3801.75,     Padre: 210
Cedrick Clark   Id empleado: 438,     Datos: Crystal Martin     2927.14,     Padre: 210
Cedrick Clark   Id empleado: 439,     Datos: Nate Scott     3289.26,     Padre: 210
Cedrick Clark   Id empleado: 440,     Datos: Mark Shaw     3012.62,     Padre: 210
Julianna Warren   Id empleado: 211,     Datos: Scarlett Thompson     2962.49,     Padre: 103
Scarlett Thompson   Id empleado: 441,     Datos: David Freeburn     2414.1,     Padre: 211
Scarlett Thompson   Id empleado: 442,     Datos: Alexander Gaynor     2808,     Padre: 211
Julianna Warren   Id empleado: 212,     Datos: Chris Jarvis     4074.13,     Padre: 103
Chris Jarvis   Id empleado: 443,     Datos: Jennifer Hewitt     3331.59,     Padre: 212
Chris Jarvis   Id empleado: 444,     Datos: Chelsea Thompson     3720.33,     Padre: 212
Chris Jarvis   Id empleado: 445,     Datos: Robyn Craig     2632.8,     Padre: 212
David Bowen   Id empleado: 104,     Datos: Caleb Wild     3437.38,     Padre: 51
Caleb Wild   Id empleado: 213,     Datos: Ron Warner     3152.63,     Padre: 104
Ron Warner   Id empleado: 446,     Datos: Sofia Bloom     3146.21,     Padre: 213
Ron Warner   Id empleado: 447,     Datos: Aisha Wellington     3481.11,     Padre: 213
Ron Warner   Id empleado: 448,     Datos: Willow Walker     3557.09,     Padre: 213
Ron Warner   Id empleado: 449,     Datos: Sofia Walsh     2972.49,     Padre: 213
Caleb Wild   Id empleado: 214,     Datos: Shay Matthews     4017.37,     Padre: 104
Shay Matthews   Id empleado: 450,     Datos: Jayden Collins     3664.05,     Padre: 214
Caleb Wild   Id empleado: 215,     Datos: Daphne Clarke     2618.28,     Padre: 104
Caleb Wild   Id empleado: 216,     Datos: Priscilla Oldfield     3523.04,     Padre: 104
David Bowen   Id empleado: 105,     Datos: Rosie Bishop     3843.25,     Padre: 51
Rosie Bishop   Id empleado: 217,     Datos: Alba Drake     3379.17,     Padre: 105
Rosie Bishop   Id empleado: 218,     Datos: Julian Milner     3319.08,     Padre: 105
Rosie Bishop   Id empleado: 219,     Datos: Nancy Quinnell     3454.06,     Padre: 105
Rosie Bishop   Id empleado: 220,     Datos: Aiden Griffiths     3648.08,     Padre: 105
Rosie Bishop   Id empleado: 221,     Datos: Carl Dillon     2884.31,     Padre: 105
Rosie Bishop   Id empleado: 222,     Datos: Jessica Blackwall     3677.02,     Padre: 105
Clint Cork   Id empleado: 52,     Datos: Sabrina Morris     4460.69,     Padre: 14
Sabrina Morris   Id empleado: 106,     Datos: Benjamin Rosenbloom     3539.59,     Padre: 52
Benjamin Rosenbloom   Id empleado: 223,     Datos: Sonya Ventura     3967.08,     Padre: 106
Benjamin Rosenbloom   Id empleado: 224,     Datos: Rosie Hancock     3055.02,     Padre: 106
Benjamin Rosenbloom   Id empleado: 225,     Datos: Percy Raven     3368.71,     Padre: 106
Sabrina Morris   Id empleado: 107,     Datos: Bart Butler     3814.74,     Padre: 52
Bart Butler   Id empleado: 226,     Datos: Sage Dixon     3595.35,     Padre: 107
Bart Butler   Id empleado: 227,     Datos: Michelle Zaoui     4064.45,     Padre: 107
Bart Butler   Id empleado: 228,     Datos: Rick Oldfield     3466.34,     Padre: 107
Bart Butler   Id empleado: 229,     Datos: Elijah Kidd     3117.85,     Padre: 107
Sabrina Morris   Id empleado: 108,     Datos: Harry Nurton     2691.95,     Padre: 52
Harry Nurton   Id empleado: 230,     Datos: Boris Collins     3108.15,     Padre: 108
Harry Nurton   Id empleado: 231,     Datos: Mabel Owen     3503.97,     Padre: 108
Harry Nurton   Id empleado: 232,     Datos: Carissa Lambert     3734.69,     Padre: 108
Clint Cork   Id empleado: 53,     Datos: Rhea Dempsey     2905.4,     Padre: 14
Rhea Dempsey   Id empleado: 109,     Datos: Lindsay Welsch     3724.98,     Padre: 53
Lindsay Welsch   Id empleado: 233,     Datos: Clint Matthews     3317.76,     Padre: 109
Lindsay Welsch   Id empleado: 234,     Datos: Amy Newman     3269.49,     Padre: 109
Lindsay Welsch   Id empleado: 235,     Datos: Johnny Donnelly     3806.28,     Padre: 109
Lindsay Welsch   Id empleado: 236,     Datos: Daron Waterson     2928.92,     Padre: 109
Rhea Dempsey   Id empleado: 110,     Datos: Ronald Everett     3031.24,     Padre: 53
Ronald Everett   Id empleado: 237,     Datos: Tony Nicolas     3966.63,     Padre: 110
Ronald Everett   Id empleado: 238,     Datos: Ronald Bryant     4086.24,     Padre: 110
Ronald Everett   Id empleado: 239,     Datos: Mavis Rees     3893.4,     Padre: 110
Ronald Everett   Id empleado: 240,     Datos: Lana Walter     4156.66,     Padre: 110
Rhea Dempsey   Id empleado: 111,     Datos: Alessandra Scott     3998.64,     Padre: 53
Alessandra Scott   Id empleado: 241,     Datos: Alba Strong     3948.46,     Padre: 111
Alessandra Scott   Id empleado: 242,     Datos: Mina Rosenbloom     3606.22,     Padre: 111
Rhea Dempsey   Id empleado: 112,     Datos: Alma Griffiths     2871.78,     Padre: 53
Alma Griffiths   Id empleado: 243,     Datos: Bristol Richards     2957.52,     Padre: 112
